sample_id,rep,prompt_version,news_desk,model,vader_compound
44,2,A,Business,Gemini-2.5-Flash,0.27855
45,0,A,Business,Gemini-2.5-Flash,-0.6889500000000001
45,1,A,Business,Gemini-2.5-Flash,-0.8906499999999999
45,2,A,Business,Gemini-2.5-Flash,-0.10912500000000003
46,0,A,Business,Gemini-2.5-Flash,0.042874999999999996
46,1,A,Business,Gemini-2.5-Flash,0.54435
46,2,A,Business,Gemini-2.5-Flash,0.4072
47,0,A,Business,Gemini-2.5-Flash,0.312325
47,1,A,Business,Gemini-2.5-Flash,0.83995
47,2,A,Business,Gemini-2.5-Flash,0.20210000000000003
48,0,A,Business,Gemini-2.5-Flash,0.30052500000000004
48,1,A,Business,Gemini-2.5-Flash,-0.2925249999999999
48,2,A,Business,Gemini-2.5-Flash,0.004299999999999998
49,0,A,Business,Gemini-2.5-Flash,-0.878325
49,1,A,Business,Gemini-2.5-Flash,-0.5299250000000001
49,2,A,Business,Gemini-2.5-Flash,-0.620225
50,0,A,Foreign,Gemini-2.5-Flash,-0.8474333333333334
50,1,A,Foreign,Gemini-2.5-Flash,-0.414675
50,2,A,Foreign,Gemini-2.5-Flash,-0.25333999999999995
51,0,A,Foreign,Gemini-2.5-Flash,0.789925
51,1,A,Foreign,Gemini-2.5-Flash,-0.23172500000000001
51,2,A,Foreign,Gemini-2.5-Flash,0.460725
52,0,A,Foreign,Gemini-2.5-Flash,0.7085250000000001
52,1,A,Foreign,Gemini-2.5-Flash,0.780575
52,2,A,Foreign,Gemini-2.5-Flash,0.6614749999999999
53,0,A,Foreign,Gemini-2.5-Flash,-0.26602499999999996
53,1,A,Foreign,Gemini-2.5-Flash,-0.11400000000000002
53,2,A,Foreign,Gemini-2.5-Flash,0.345475
54,0,A,Foreign,Gemini-2.5-Flash,-0.07345
54,1,A,Foreign,Gemini-2.5-Flash,-0.07279999999999998
54,2,A,Foreign,Gemini-2.5-Flash,0.37975000000000003
55,0,A,Foreign,Gemini-2.5-Flash,-0.8519
55,1,A,Foreign,Gemini-2.5-Flash,-0.3669
55,2,A,Foreign,Gemini-2.5-Flash,-0.18005
56,0,A,Foreign,Gemini-2.5-Flash,-0.2789
56,1,A,Foreign,Gemini-2.5-Flash,0.085425
56,2,A,Foreign,Gemini-2.5-Flash,-0.39045
57,0,A,Foreign,Gemini-2.5-Flash,-0.24735000000000001
57,1,A,Foreign,Gemini-2.5-Flash,-0.83525
57,2,A,Foreign,Gemini-2.5-Flash,-0.08152500000000001
58,0,A,Foreign,Gemini-2.5-Flash,0.8461000000000001
58,1,A,Foreign,Gemini-2.5-Flash,0.5434
58,2,A,Foreign,Gemini-2.5-Flash,0.76574
59,0,A,Foreign,Gemini-2.5-Flash,0.4289
59,1,A,Foreign,Gemini-2.5-Flash,0.6492
59,2,A,Foreign,Gemini-2.5-Flash,0.8786749999999999
60,0,A,Foreign,Gemini-2.5-Flash,-0.35275
60,1,A,Foreign,Gemini-2.5-Flash,0.3176
60,2,A,Foreign,Gemini-2.5-Flash,0.34155
61,0,A,Foreign,Gemini-2.5-Flash,-0.003699999999999981
61,1,A,Foreign,Gemini-2.5-Flash,0.398775
61,2,A,Foreign,Gemini-2.5-Flash,-0.37652500000000005
62,0,A,Foreign,Gemini-2.5-Flash,-0.4251
62,1,A,Foreign,Gemini-2.5-Flash,-0.6146499999999999
62,2,A,Foreign,Gemini-2.5-Flash,-0.8311999999999999
63,0,A,Foreign,Gemini-2.5-Flash,0.8558
63,1,A,Foreign,Gemini-2.5-Flash,0.9533750000000001
63,2,A,Foreign,Gemini-2.5-Flash,0.9477249999999999
64,0,A,Foreign,Gemini-2.5-Flash,0.70038
64,1,A,Foreign,Gemini-2.5-Flash,0.02727500000000002
64,2,A,Foreign,Gemini-2.5-Flash,0.071025
65,0,A,Foreign,Gemini-2.5-Flash,-0.0005999999999999756
65,1,A,Foreign,Gemini-2.5-Flash,-0.433525
65,2,A,Foreign,Gemini-2.5-Flash,-0.36592
66,0,A,Foreign,Gemini-2.5-Flash,0.264525
66,1,A,Foreign,Gemini-2.5-Flash,0.07144999999999999
66,2,A,Foreign,Gemini-2.5-Flash,-0.21230000000000002
67,0,A,Foreign,Gemini-2.5-Flash,-0.44005
67,1,A,Foreign,Gemini-2.5-Flash,-0.44108
67,2,A,Foreign,Gemini-2.5-Flash,-0.08737500000000004
68,0,A,Foreign,Gemini-2.5-Flash,0.37959999999999994
68,1,A,Foreign,Gemini-2.5-Flash,0.40904999999999997
68,2,A,Foreign,Gemini-2.5-Flash,0.12632500000000002
69,0,A,Foreign,Gemini-2.5-Flash,-0.047750000000000015
69,1,A,Foreign,Gemini-2.5-Flash,-0.2358
69,2,A,Foreign,Gemini-2.5-Flash,0.01915
70,0,A,Foreign,Gemini-2.5-Flash,0.5824750000000001
70,1,A,Foreign,Gemini-2.5-Flash,0.8858249999999999
70,2,A,Foreign,Gemini-2.5-Flash,0.90275
71,0,A,Foreign,Gemini-2.5-Flash,-0.544075
71,1,A,Foreign,Gemini-2.5-Flash,-0.51065
71,2,A,Foreign,Gemini-2.5-Flash,-0.849525
72,0,A,Foreign,Gemini-2.5-Flash,-0.17604999999999998
72,1,A,Foreign,Gemini-2.5-Flash,0.5775
72,2,A,Foreign,Gemini-2.5-Flash,0.1755
73,0,A,Foreign,Gemini-2.5-Flash,0.77065
73,1,A,Foreign,Gemini-2.5-Flash,0.24732500000000002
73,2,A,Foreign,Gemini-2.5-Flash,0.762375
74,0,A,Foreign,Gemini-2.5-Flash,-0.7851666666666667
74,1,A,Foreign,Gemini-2.5-Flash,-0.42505000000000004
74,2,A,Foreign,Gemini-2.5-Flash,-0.5727
75,0,A,Foreign,Gemini-2.5-Flash,0.19592500000000002
75,1,A,Foreign,Gemini-2.5-Flash,-0.4525
75,2,A,Foreign,Gemini-2.5-Flash,0.15536
76,0,A,Foreign,Gemini-2.5-Flash,0.882475
76,1,A,Foreign,Gemini-2.5-Flash,0.6236999999999999
76,2,A,Foreign,Gemini-2.5-Flash,0.87515
77,0,A,Foreign,Gemini-2.5-Flash,-0.48595
77,1,A,Foreign,Gemini-2.5-Flash,-0.8239000000000001
77,2,A,Foreign,Gemini-2.5-Flash,-0.62605
78,0,A,Foreign,Gemini-2.5-Flash,0.233925
78,1,A,Foreign,Gemini-2.5-Flash,0.86665
78,2,A,Foreign,Gemini-2.5-Flash,0.842475
79,0,A,Foreign,Gemini-2.5-Flash,-0.28975
79,1,A,Foreign,Gemini-2.5-Flash,0.35419999999999996
79,2,A,Foreign,Gemini-2.5-Flash,-0.8641
0,0,E,Business,Gemini-2.5-Flash,0.040124999999999994
0,1,E,Business,Gemini-2.5-Flash,0.32277500000000003
0,2,E,Business,Gemini-2.5-Flash,0.5960500000000001
1,0,E,Business,Gemini-2.5-Flash,-0.6825749999999999
1,1,E,Business,Gemini-2.5-Flash,-0.19704999999999998
1,2,E,Business,Gemini-2.5-Flash,-0.807725
2,0,E,Business,Gemini-2.5-Flash,0.8149249999999999
2,1,E,Business,Gemini-2.5-Flash,0.26215
2,2,E,Business,Gemini-2.5-Flash,0.6167250000000001
3,0,E,Business,Gemini-2.5-Flash,-0.43242500000000006
3,1,E,Business,Gemini-2.5-Flash,0.07357499999999999
3,2,E,Business,Gemini-2.5-Flash,-0.086225
4,0,E,Business,Gemini-2.5-Flash,0.2773333333333334
4,1,E,Business,Gemini-2.5-Flash,-0.002825000000000022
4,2,E,Business,Gemini-2.5-Flash,0.2419
5,0,E,Business,Gemini-2.5-Flash,0.9641500000000001
5,1,E,Business,Gemini-2.5-Flash,0.9920333333333332
5,2,E,Business,Gemini-2.5-Flash,0.9855750000000001
6,0,E,Business,Gemini-2.5-Flash,0.28055
6,1,E,Business,Gemini-2.5-Flash,0.25450000000000006
6,2,E,Business,Gemini-2.5-Flash,0.16374999999999998
7,0,E,Business,Gemini-2.5-Flash,0.06225000000000003
7,1,E,Business,Gemini-2.5-Flash,0.5048333333333334
7,2,E,Business,Gemini-2.5-Flash,0.3245
8,0,E,Business,Gemini-2.5-Flash,-0.38787499999999997
8,1,E,Business,Gemini-2.5-Flash,-0.7922750000000001
8,2,E,Business,Gemini-2.5-Flash,-0.543825
9,0,E,Business,Gemini-2.5-Flash,0.498075
9,1,E,Business,Gemini-2.5-Flash,0.23525
9,2,E,Business,Gemini-2.5-Flash,0.3337
10,0,E,Foreign,Gemini-2.5-Flash,0.579475
10,1,E,Foreign,Gemini-2.5-Flash,-0.312225
10,2,E,Foreign,Gemini-2.5-Flash,0.3951
11,0,E,Foreign,Gemini-2.5-Flash,0.3033999999999999
11,1,E,Foreign,Gemini-2.5-Flash,-0.09675
11,2,E,Foreign,Gemini-2.5-Flash,0.46285000000000004
12,0,E,Foreign,Gemini-2.5-Flash,-0.934125
12,1,E,Foreign,Gemini-2.5-Flash,-0.928075
12,2,E,Foreign,Gemini-2.5-Flash,-0.83495
13,0,E,Foreign,Gemini-2.5-Flash,-0.97485
13,1,E,Foreign,Gemini-2.5-Flash,-0.3474000000000001
13,2,E,Foreign,Gemini-2.5-Flash,-0.9663750000000001
14,0,E,Foreign,Gemini-2.5-Flash,0.960825
14,1,E,Foreign,Gemini-2.5-Flash,0.8805
14,2,E,Foreign,Gemini-2.5-Flash,0.6621
15,0,E,Foreign,Gemini-2.5-Flash,0.387775
15,1,E,Foreign,Gemini-2.5-Flash,0.15349999999999997
15,2,E,Foreign,Gemini-2.5-Flash,0.64115
16,0,E,Foreign,Gemini-2.5-Flash,-0.48612500000000003
16,1,E,Foreign,Gemini-2.5-Flash,-0.2194
16,2,E,Foreign,Gemini-2.5-Flash,-0.34245000000000003
17,0,E,Foreign,Gemini-2.5-Flash,0.8706499999999999
17,1,E,Foreign,Gemini-2.5-Flash,0.7696
17,2,E,Foreign,Gemini-2.5-Flash,0.956
18,0,E,Foreign,Gemini-2.5-Flash,0.09659999999999998
18,1,E,Foreign,Gemini-2.5-Flash,0.45812500000000006
18,2,E,Foreign,Gemini-2.5-Flash,-0.21234999999999998
19,0,E,Foreign,Gemini-2.5-Flash,0.71465
19,1,E,Foreign,Gemini-2.5-Flash,0.8612500000000001
19,2,E,Foreign,Gemini-2.5-Flash,0.926175
20,0,E,Business,Gemini-2.5-Flash,0.8845500000000001
20,1,E,Business,Gemini-2.5-Flash,0.76695
20,2,E,Business,Gemini-2.5-Flash,0.3306
21,0,E,Business,Gemini-2.5-Flash,0.6399
21,1,E,Business,Gemini-2.5-Flash,0.9577
21,2,E,Business,Gemini-2.5-Flash,0.7453333333333333
22,0,E,Business,Gemini-2.5-Flash,-0.36774999999999997
22,1,E,Business,Gemini-2.5-Flash,-0.824725
22,2,E,Business,Gemini-2.5-Flash,0.013400000000000023
23,0,E,Business,Gemini-2.5-Flash,-0.43055
23,1,E,Business,Gemini-2.5-Flash,-0.43232499999999996
23,2,E,Business,Gemini-2.5-Flash,-0.5194333333333333
24,0,E,Business,Gemini-2.5-Flash,0.977025
24,1,E,Business,Gemini-2.5-Flash,0.9843999999999999
24,2,E,Business,Gemini-2.5-Flash,0.95135
25,0,E,Business,Gemini-2.5-Flash,0.5012749999999999
25,1,E,Business,Gemini-2.5-Flash,0.7674
25,2,E,Business,Gemini-2.5-Flash,0.9313
26,0,E,Business,Gemini-2.5-Flash,-0.5251
26,1,E,Business,Gemini-2.5-Flash,-0.35195
26,2,E,Business,Gemini-2.5-Flash,-0.626025
27,0,E,Business,Gemini-2.5-Flash,-0.138675
27,1,E,Business,Gemini-2.5-Flash,0.45542499999999997
27,2,E,Business,Gemini-2.5-Flash,0.031175000000000008
28,0,E,Business,Gemini-2.5-Flash,0.7452000000000001
28,1,E,Business,Gemini-2.5-Flash,0.5411250000000001
28,2,E,Business,Gemini-2.5-Flash,0.479725
29,0,E,Business,Gemini-2.5-Flash,0.555275
29,1,E,Business,Gemini-2.5-Flash,0.885125
29,2,E,Business,Gemini-2.5-Flash,0.91305
30,0,E,Business,Gemini-2.5-Flash,0.9409000000000001
30,1,E,Business,Gemini-2.5-Flash,0.9084666666666666
30,2,E,Business,Gemini-2.5-Flash,0.7922
31,0,E,Business,Gemini-2.5-Flash,0.46525000000000005
31,1,E,Business,Gemini-2.5-Flash,0.9342666666666667
31,2,E,Business,Gemini-2.5-Flash,0.49365000000000003
32,0,E,Business,Gemini-2.5-Flash,0.9692
32,1,E,Business,Gemini-2.5-Flash,0.8099333333333334
32,2,E,Business,Gemini-2.5-Flash,0.509225
33,0,E,Business,Gemini-2.5-Flash,-0.50165
33,1,E,Business,Gemini-2.5-Flash,-0.6074499999999999
33,2,E,Business,Gemini-2.5-Flash,0.03660000000000002
34,0,E,Business,Gemini-2.5-Flash,-0.61205
34,1,E,Business,Gemini-2.5-Flash,-0.664575
34,2,E,Business,Gemini-2.5-Flash,-0.822175
35,0,E,Business,Gemini-2.5-Flash,0.90245
35,1,E,Business,Gemini-2.5-Flash,0.97005
35,2,E,Business,Gemini-2.5-Flash,0.9480749999999999
36,0,E,Business,Gemini-2.5-Flash,-0.668625
36,1,E,Business,Gemini-2.5-Flash,-0.42605
36,2,E,Business,Gemini-2.5-Flash,-0.636675
37,0,E,Business,Gemini-2.5-Flash,-0.23014999999999997
37,1,E,Business,Gemini-2.5-Flash,-0.54195
37,2,E,Business,Gemini-2.5-Flash,0.125475
38,0,E,Business,Gemini-2.5-Flash,0.674725
38,1,E,Business,Gemini-2.5-Flash,0.424375
38,2,E,Business,Gemini-2.5-Flash,0.172875
39,0,E,Business,Gemini-2.5-Flash,0.15602499999999997
39,1,E,Business,Gemini-2.5-Flash,0.8724500000000001
39,2,E,Business,Gemini-2.5-Flash,0.490175
40,0,E,Business,Gemini-2.5-Flash,-0.532725
40,1,E,Business,Gemini-2.5-Flash,-0.9680666666666666
40,2,E,Business,Gemini-2.5-Flash,-0.6346499999999999
41,0,E,Business,Gemini-2.5-Flash,0.32425000000000004
41,1,E,Business,Gemini-2.5-Flash,0.14755000000000001
41,2,E,Business,Gemini-2.5-Flash,0.348275
42,0,E,Business,Gemini-2.5-Flash,0.9238249999999999
42,1,E,Business,Gemini-2.5-Flash,0.9438500000000001
42,2,E,Business,Gemini-2.5-Flash,0.945325
43,0,E,Business,Gemini-2.5-Flash,0.385075
43,1,E,Business,Gemini-2.5-Flash,0.15030000000000002
43,2,E,Business,Gemini-2.5-Flash,0.812825
44,0,E,Business,Gemini-2.5-Flash,0.2747
44,1,E,Business,Gemini-2.5-Flash,0.43479999999999996
44,2,E,Business,Gemini-2.5-Flash,0.5165
45,0,E,Business,Gemini-2.5-Flash,-0.33425
45,1,E,Business,Gemini-2.5-Flash,-0.37545
45,2,E,Business,Gemini-2.5-Flash,0.12906666666666666
46,0,E,Business,Gemini-2.5-Flash,0.2623
46,1,E,Business,Gemini-2.5-Flash,0.6275666666666667
46,2,E,Business,Gemini-2.5-Flash,0.6789249999999999
47,0,E,Business,Gemini-2.5-Flash,0.21473333333333336
47,1,E,Business,Gemini-2.5-Flash,0.4074
47,2,E,Business,Gemini-2.5-Flash,0.4518
48,0,E,Business,Gemini-2.5-Flash,0.631975
48,1,E,Business,Gemini-2.5-Flash,-0.187125
48,2,E,Business,Gemini-2.5-Flash,0.513775
49,0,E,Business,Gemini-2.5-Flash,-0.5225
49,1,E,Business,Gemini-2.5-Flash,-0.06657500000000005
49,2,E,Business,Gemini-2.5-Flash,-0.22182500000000002
50,0,E,Foreign,Gemini-2.5-Flash,-0.556525
50,1,E,Foreign,Gemini-2.5-Flash,-0.590375
50,2,E,Foreign,Gemini-2.5-Flash,-0.8987250000000001
51,0,E,Foreign,Gemini-2.5-Flash,0.19022499999999998
51,1,E,Foreign,Gemini-2.5-Flash,0.49902500000000005
51,2,E,Foreign,Gemini-2.5-Flash,0.44672500000000004
52,0,E,Foreign,Gemini-2.5-Flash,0.8001
52,1,E,Foreign,Gemini-2.5-Flash,0.67165
52,2,E,Foreign,Gemini-2.5-Flash,0.606625
53,0,E,Foreign,Gemini-2.5-Flash,-0.2985
53,1,E,Foreign,Gemini-2.5-Flash,0.310475
53,2,E,Foreign,Gemini-2.5-Flash,0.29355000000000003
54,0,E,Foreign,Gemini-2.5-Flash,-0.23159999999999997
54,1,E,Foreign,Gemini-2.5-Flash,-0.11592500000000006
54,2,E,Foreign,Gemini-2.5-Flash,-0.2925
55,0,E,Foreign,Gemini-2.5-Flash,-0.5389
55,1,E,Foreign,Gemini-2.5-Flash,-0.9768
55,2,E,Foreign,Gemini-2.5-Flash,-0.9793499999999999
56,0,E,Foreign,Gemini-2.5-Flash,-0.5383249999999999
56,1,E,Foreign,Gemini-2.5-Flash,-0.0897
56,2,E,Foreign,Gemini-2.5-Flash,-0.050375
57,0,E,Foreign,Gemini-2.5-Flash,-0.437375
57,1,E,Foreign,Gemini-2.5-Flash,-0.6131
57,2,E,Foreign,Gemini-2.5-Flash,0.18418000000000004
58,0,E,Foreign,Gemini-2.5-Flash,0.291675
58,1,E,Foreign,Gemini-2.5-Flash,0.45197500000000007
58,2,E,Foreign,Gemini-2.5-Flash,0.12190000000000001
59,0,E,Foreign,Gemini-2.5-Flash,0.8501000000000001
59,1,E,Foreign,Gemini-2.5-Flash,0.461925
59,2,E,Foreign,Gemini-2.5-Flash,0.421775
60,0,E,Foreign,Gemini-2.5-Flash,0.7504
60,1,E,Foreign,Gemini-2.5-Flash,0.08665
60,2,E,Foreign,Gemini-2.5-Flash,-0.16215000000000002
61,0,E,Foreign,Gemini-2.5-Flash,-0.352725
61,1,E,Foreign,Gemini-2.5-Flash,0.3202
61,2,E,Foreign,Gemini-2.5-Flash,-0.456625
