sample_id,rep,prompt_version,news_desk,model,vader_compound
59,1,A,Foreign,Claude-Haiku-4.5,0.371575
59,2,A,Foreign,Claude-Haiku-4.5,0.18444999999999995
60,0,A,Foreign,Claude-Haiku-4.5,0.762175
60,1,A,Foreign,Claude-Haiku-4.5,0.462625
60,2,A,Foreign,Claude-Haiku-4.5,0.978875
61,0,A,Foreign,Claude-Haiku-4.5,0.3134499999999999
61,1,A,Foreign,Claude-Haiku-4.5,-0.28486666666666666
61,2,A,Foreign,Claude-Haiku-4.5,-0.33585
62,0,A,Foreign,Claude-Haiku-4.5,-0.63985
62,1,A,Foreign,Claude-Haiku-4.5,-0.6145499999999999
62,2,A,Foreign,Claude-Haiku-4.5,-0.8868333333333333
63,0,A,Foreign,Claude-Haiku-4.5,0.667325
63,1,A,Foreign,Claude-Haiku-4.5,0.9103999999999999
63,2,A,Foreign,Claude-Haiku-4.5,0.827275
64,0,A,Foreign,Claude-Haiku-4.5,0.25434999999999997
64,1,A,Foreign,Claude-Haiku-4.5,0.5449999999999999
64,2,A,Foreign,Claude-Haiku-4.5,0.505575
65,0,A,Foreign,Claude-Haiku-4.5,0.17209999999999998
65,1,A,Foreign,Claude-Haiku-4.5,0.13442500000000002
65,2,A,Foreign,Claude-Haiku-4.5,-0.446725
66,0,A,Foreign,Claude-Haiku-4.5,-0.391775
66,1,A,Foreign,Claude-Haiku-4.5,-0.552675
66,2,A,Foreign,Claude-Haiku-4.5,-0.17829999999999993
67,0,A,Foreign,Claude-Haiku-4.5,-0.599325
67,1,A,Foreign,Claude-Haiku-4.5,0.072475
67,2,A,Foreign,Claude-Haiku-4.5,-0.43650000000000005
68,0,A,Foreign,Claude-Haiku-4.5,-0.10067500000000004
68,1,A,Foreign,Claude-Haiku-4.5,0.711
68,2,A,Foreign,Claude-Haiku-4.5,0.540575
69,0,A,Foreign,Claude-Haiku-4.5,-0.32235
69,1,A,Foreign,Claude-Haiku-4.5,-0.42352500000000004
69,2,A,Foreign,Claude-Haiku-4.5,-0.834375
70,0,A,Foreign,Claude-Haiku-4.5,0.32265
70,1,A,Foreign,Claude-Haiku-4.5,0.2741
70,2,A,Foreign,Claude-Haiku-4.5,0.19187499999999996
71,0,A,Foreign,Claude-Haiku-4.5,-0.7774000000000001
71,1,A,Foreign,Claude-Haiku-4.5,-0.9618749999999999
71,2,A,Foreign,Claude-Haiku-4.5,-0.41347500000000004
72,0,A,Foreign,Claude-Haiku-4.5,0.55995
72,1,A,Foreign,Claude-Haiku-4.5,-0.37435000000000007
72,2,A,Foreign,Claude-Haiku-4.5,-0.1011
73,0,A,Foreign,Claude-Haiku-4.5,-0.008699999999999979
73,1,A,Foreign,Claude-Haiku-4.5,0.11405000000000001
73,2,A,Foreign,Claude-Haiku-4.5,-0.32720000000000005
74,0,A,Foreign,Claude-Haiku-4.5,-0.5777
74,1,A,Foreign,Claude-Haiku-4.5,-0.20402499999999998
74,2,A,Foreign,Claude-Haiku-4.5,-0.4066
75,0,A,Foreign,Claude-Haiku-4.5,0.30555
75,1,A,Foreign,Claude-Haiku-4.5,0.43427499999999997
75,2,A,Foreign,Claude-Haiku-4.5,0.395625
76,0,A,Foreign,Claude-Haiku-4.5,0.52605
76,1,A,Foreign,Claude-Haiku-4.5,0.79835
76,2,A,Foreign,Claude-Haiku-4.5,0.32542499999999996
77,0,A,Foreign,Claude-Haiku-4.5,-0.893475
77,1,A,Foreign,Claude-Haiku-4.5,-0.761325
77,2,A,Foreign,Claude-Haiku-4.5,-0.8482500000000001
78,0,A,Foreign,Claude-Haiku-4.5,0.78435
78,1,A,Foreign,Claude-Haiku-4.5,0.9239999999999999
78,2,A,Foreign,Claude-Haiku-4.5,0.771525
79,0,A,Foreign,Claude-Haiku-4.5,-0.26535
79,1,A,Foreign,Claude-Haiku-4.5,-0.32830000000000004
79,2,A,Foreign,Claude-Haiku-4.5,-0.39525
0,0,E,Business,Claude-Haiku-4.5,0.2507
0,1,E,Business,Claude-Haiku-4.5,0.94
0,2,E,Business,Claude-Haiku-4.5,0.8262
1,0,E,Business,Claude-Haiku-4.5,-0.8738
1,1,E,Business,Claude-Haiku-4.5,-0.7079749999999999
1,2,E,Business,Claude-Haiku-4.5,-0.87605
2,0,E,Business,Claude-Haiku-4.5,0.47197500000000003
2,1,E,Business,Claude-Haiku-4.5,0.6538999999999999
2,2,E,Business,Claude-Haiku-4.5,0.10139999999999999
3,0,E,Business,Claude-Haiku-4.5,-0.6712
3,1,E,Business,Claude-Haiku-4.5,0.19600000000000004
3,2,E,Business,Claude-Haiku-4.5,0.34697500000000003
4,0,E,Business,Claude-Haiku-4.5,-0.01157499999999996
4,1,E,Business,Claude-Haiku-4.5,-0.04720000000000005
4,2,E,Business,Claude-Haiku-4.5,0.2372
5,0,E,Business,Claude-Haiku-4.5,0.5315749999999999
5,1,E,Business,Claude-Haiku-4.5,0.8812
5,2,E,Business,Claude-Haiku-4.5,0.73105
6,0,E,Business,Claude-Haiku-4.5,0.30174999999999996
6,1,E,Business,Claude-Haiku-4.5,0.311025
6,2,E,Business,Claude-Haiku-4.5,0.40185000000000004
7,0,E,Business,Claude-Haiku-4.5,0.45330000000000004
7,1,E,Business,Claude-Haiku-4.5,0.275725
7,2,E,Business,Claude-Haiku-4.5,-0.00662500000000002
