sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
59,2,A,Foreign,Claude-Haiku-4.5,0.4922872738679871,4,1129
60,0,A,Foreign,Claude-Haiku-4.5,0.3367204526439309,4,1107
60,1,A,Foreign,Claude-Haiku-4.5,-0.894045713590458,4,1090
60,2,A,Foreign,Claude-Haiku-4.5,-0.10667891303698222,3,1039
61,0,A,Foreign,Claude-Haiku-4.5,-0.6747247828170657,3,957
61,1,A,Foreign,Claude-Haiku-4.5,-0.9737755445530638,3,887
61,2,A,Foreign,Claude-Haiku-4.5,-0.15505947180402777,3,915
62,0,A,Foreign,Claude-Haiku-4.5,-0.9781484149280004,4,1001
62,1,A,Foreign,Claude-Haiku-4.5,-0.9944248447815577,3,970
62,2,A,Foreign,Claude-Haiku-4.5,-0.8628887822851539,3,824
63,0,A,Foreign,Claude-Haiku-4.5,0.6894151894375682,3,1014
63,1,A,Foreign,Claude-Haiku-4.5,0.37108791060745716,3,1026
63,2,A,Foreign,Claude-Haiku-4.5,0.8239836071928343,3,1007
64,0,A,Foreign,Claude-Haiku-4.5,-0.9533688829590877,3,1008
64,1,A,Foreign,Claude-Haiku-4.5,-0.09848572903623183,3,917
64,2,A,Foreign,Claude-Haiku-4.5,-0.2791450967391332,3,998
65,0,A,Foreign,Claude-Haiku-4.5,-0.08044364396482706,4,1001
65,1,A,Foreign,Claude-Haiku-4.5,-0.44517648551845923,4,1008
65,2,A,Foreign,Claude-Haiku-4.5,-0.9759480610955507,4,1020
66,0,A,Foreign,Claude-Haiku-4.5,0.26638699136674404,3,1030
66,1,A,Foreign,Claude-Haiku-4.5,-0.8095636436482891,4,1025
66,2,A,Foreign,Claude-Haiku-4.5,-0.3610586989670992,3,880
67,0,A,Foreign,Claude-Haiku-4.5,-0.7732981893544396,3,1009
67,1,A,Foreign,Claude-Haiku-4.5,-0.7268174649216235,4,1084
67,2,A,Foreign,Claude-Haiku-4.5,-0.7297919894723842,3,990
68,0,A,Foreign,Claude-Haiku-4.5,-0.030710883380379528,4,1083
68,1,A,Foreign,Claude-Haiku-4.5,0.018037677742540836,4,1109
68,2,A,Foreign,Claude-Haiku-4.5,0.048989820604523025,3,986
69,0,A,Foreign,Claude-Haiku-4.5,0.4689778764732182,4,1104
69,1,A,Foreign,Claude-Haiku-4.5,-0.554273309186101,4,1025
69,2,A,Foreign,Claude-Haiku-4.5,0.36876183876302093,4,1073
70,0,A,Foreign,Claude-Haiku-4.5,0.6028965578589123,4,1067
70,1,A,Foreign,Claude-Haiku-4.5,0.8800916932523251,4,1174
70,2,A,Foreign,Claude-Haiku-4.5,0.9902707275468856,4,1078
71,0,A,Foreign,Claude-Haiku-4.5,-0.9423761939009031,3,1035
71,1,A,Foreign,Claude-Haiku-4.5,-0.9784298097365536,4,1076
71,2,A,Foreign,Claude-Haiku-4.5,0.5631728207226843,4,1053
72,0,A,Foreign,Claude-Haiku-4.5,0.18766683962894604,4,973
72,1,A,Foreign,Claude-Haiku-4.5,-0.9880399787798524,4,999
72,2,A,Foreign,Claude-Haiku-4.5,-0.9599332250654697,3,986
73,0,A,Foreign,Claude-Haiku-4.5,-0.6530181223060936,4,1027
73,1,A,Foreign,Claude-Haiku-4.5,-0.9711917846774062,3,984
73,2,A,Foreign,Claude-Haiku-4.5,-0.2826331781107001,4,1044
74,0,A,Foreign,Claude-Haiku-4.5,-0.48501900932751596,4,1107
74,1,A,Foreign,Claude-Haiku-4.5,-0.0116444849409163,4,1075
74,2,A,Foreign,Claude-Haiku-4.5,0.4879243125518163,3,1025
75,0,A,Foreign,Claude-Haiku-4.5,0.46046346751973033,4,1033
75,1,A,Foreign,Claude-Haiku-4.5,0.19020234793424606,4,1036
75,2,A,Foreign,Claude-Haiku-4.5,-0.033288695150986314,4,1063
76,0,A,Foreign,Claude-Haiku-4.5,0.247379240890344,3,959
76,1,A,Foreign,Claude-Haiku-4.5,-0.1510812514461577,3,975
76,2,A,Foreign,Claude-Haiku-4.5,-0.08566452539525926,4,1045
77,0,A,Foreign,Claude-Haiku-4.5,-0.011322245933115482,4,1138
77,1,A,Foreign,Claude-Haiku-4.5,-0.41793674727280933,3,990
77,2,A,Foreign,Claude-Haiku-4.5,-0.39450320464675315,4,1063
78,0,A,Foreign,Claude-Haiku-4.5,-0.9035164411179721,4,1083
78,1,A,Foreign,Claude-Haiku-4.5,-0.8779889618357023,3,1038
78,2,A,Foreign,Claude-Haiku-4.5,-0.9897221980791073,4,1107
79,0,A,Foreign,Claude-Haiku-4.5,-0.960078579664696,4,989
79,1,A,Foreign,Claude-Haiku-4.5,-0.5076413232600316,4,1111
79,2,A,Foreign,Claude-Haiku-4.5,-0.4223398465352754,3,1010
0,0,E,Business,Claude-Haiku-4.5,-0.34113822178915143,3,999
0,1,E,Business,Claude-Haiku-4.5,-0.9837802929493288,3,991
0,2,E,Business,Claude-Haiku-4.5,-0.9778639998597404,3,957
1,0,E,Business,Claude-Haiku-4.5,-0.934746366518084,4,1027
1,1,E,Business,Claude-Haiku-4.5,-0.5076470584608614,4,965
1,2,E,Business,Claude-Haiku-4.5,-0.9760993497911841,3,954
2,0,E,Business,Claude-Haiku-4.5,-0.2929106433875859,4,1028
2,1,E,Business,Claude-Haiku-4.5,-0.9078024911383787,3,1012
2,2,E,Business,Claude-Haiku-4.5,0.31046342228849727,3,948
3,0,E,Business,Claude-Haiku-4.5,-0.9531888848481079,3,971
3,1,E,Business,Claude-Haiku-4.5,-0.7026417385786772,3,851
3,2,E,Business,Claude-Haiku-4.5,-0.9798917896890392,3,986
4,0,E,Business,Claude-Haiku-4.5,-0.9857643331633881,3,926
4,1,E,Business,Claude-Haiku-4.5,-0.9493294017738663,4,1050
4,2,E,Business,Claude-Haiku-4.5,-0.9577542388578877,4,1039
5,0,E,Business,Claude-Haiku-4.5,0.599145493702963,4,1104
5,1,E,Business,Claude-Haiku-4.5,0.03214480417470137,3,974
5,2,E,Business,Claude-Haiku-4.5,-0.14468788619463643,3,953
6,0,E,Business,Claude-Haiku-4.5,0.22064477438107133,3,954
6,1,E,Business,Claude-Haiku-4.5,-0.9551657011616044,4,1055
6,2,E,Business,Claude-Haiku-4.5,-0.4389261015069981,3,982
7,0,E,Business,Claude-Haiku-4.5,-0.7871002776082605,4,1018
